epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.311,0.79906,0.4232,0.82113,0.93853,0.92962,0.95281,0.74892,0.82959,0.46419,0.83636,0.000848969,0.000848969,0.000848969
43,231.663,0.78189,0.41614,0.81925,0.94017,0.93464,0.95484,0.76075,0.84121,0.44607,0.84016,0.000834822,0.000834822,0.000834822
44,236.99,0.76507,0.40345,0.81268,0.94497,0.93705,0.95744,0.76822,0.83724,0.44642,0.84019,0.000820675,0.000820675,0.000820675
45,242.393,0.75399,0.39946,0.81395,0.93816,0.93411,0.9516,0.75409,0.83918,0.44416,0.83901,0.000806528,0.000806528,0.000806528
46,247.813,0.75965,0.40408,0.81808,0.94428,0.92945,0.95643,0.74966,0.83017,0.43873,0.83552,0.00079238,0.00079238,0.00079238
47,253.172,0.77181,0.4078,0.81361,0.93639,0.93095,0.95396,0.77117,0.81477,0.43351,0.83742,0.000778233,0.000778233,0.000778233
48,258.572,0.75078,0.39833,0.81298,0.93945,0.93499,0.9566,0.7626,0.83204,0.43097,0.83927,0.000764086,0.000764086,0.000764086
49,263.98,0.77135,0.39872,0.81538,0.93617,0.93552,0.95393,0.75581,0.83576,0.44678,0.83902,0.000749939,0.000749939,0.000749939
50,269.332,0.74115,0.39009,0.81131,0.94199,0.93824,0.957,0.76525,0.82603,0.43684,0.83743,0.000735792,0.000735792,0.000735792
51,274.669,0.7369,0.39311,0.8111,0.93641,0.93416,0.9554,0.77252,0.79977,0.42502,0.83268,0.000721645,0.000721645,0.000721645
52,279.965,0.7163,0.38455,0.80932,0.94215,0.93045,0.95314,0.76456,0.81996,0.43278,0.83427,0.000707498,0.000707498,0.000707498
53,285.28,0.75601,0.39723,0.81379,0.93645,0.93135,0.95668,0.76533,0.81188,0.43235,0.83435,0.000693351,0.000693351,0.000693351
